Gene_ids	Treatment1	Treatment2	Treatment3	Controle1	Controle2	Controle3
ENSG00000215910	0	0	0	0	0	0
ENSG00000177553	1	0	0	0	0	0
ENSG00000177000	310	202	339	416	550	550
ENSG00000011021	340	257	377	329	423	423
ENSG00000276470	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0
ENSG00000175206	0	1	0	2	1	1
ENSG00000275915	0	0	0	0	0	0
ENSG00000120937	0	0	0	0	0	0
ENSG00000224904	0	0	0	0	0	0
ENSG00000285646	13	3	14	11	9	9
ENSG00000199347	0	0	0	0	0	0
ENSG00000201801	0	0	0	2	0	0
ENSG00000116685	608	313	516	432	545	545
ENSG00000083444	1291	672	1237	975	1318	1318
ENSG00000287384	0	1	2	0	0	0
ENSG00000116688	3017	2166	2959	2487	2947	2947
ENSG00000270914	0	0	0	0	0	0
ENSG00000116691	186	71	220	90	196	196
ENSG00000202461	0	1	1	0	1	1
ENSG00000276869	0	0	0	0	0	0
ENSG00000243539	0	0	0	0	0	0
ENSG00000120949	0	0	0	0	0	0
ENSG00000201135	0	0	0	0	0	0
ENSG00000227875	0	0	0	0	0	0
ENSG00000285604	0	0	0	0	0	0
ENSG00000283789	0	0	0	0	0	0
ENSG00000028137	0	1	2	0	0	0
ENSG00000263676	0	0	0	0	0	0
ENSG00000225196	0	0	0	0	0	0
ENSG00000252969	0	0	0	0	0	0
ENSG00000048707	868	1322	1329	1359	1221	1221
ENSG00000239149	0	0	1	0	0	0
ENSG00000229484	0	0	0	0	0	0
ENSG00000162496	164	87	126	269	420	420
ENSG00000221340	0	0	0	0	0	0
ENSG00000276830	0	0	0	0	0	0
ENSG00000272482	2	0	1	2	1	1
ENSG00000204518	0	0	0	0	0	0
ENSG00000226166	0	0	0	0	0	0
ENSG00000188984	0	0	0	0	0	0
ENSG00000157330	0	0	0	0	0	0
ENSG00000116726	0	0	0	0	0	0
ENSG00000116721	0	0	0	0	0	0
ENSG00000228338	0	0	0	0	0	0
ENSG00000239810	0	0	0	0	0	0
ENSG00000231103	0	0	0	0	0	0
ENSG00000179172	0	0	0	0	0	0
ENSG00000120952	0	0	0	0	0	0
ENSG00000243073	0	0	0	0	0	0
ENSG00000187545	0	0	0	0	1	1
ENSG00000204510	0	0	1	0	0	0
ENSG00000207434	0	0	0	0	0	0
ENSG00000234064	0	0	0	0	0	0
ENSG00000232423	0	0	0	0	0	0
ENSG00000274178	0	0	0	0	0	0
ENSG00000274764	0	0	0	0	0	0
ENSG00000277058	0	0	0	0	0	0
ENSG00000229571	0	0	0	0	0	0
ENSG00000277862	0	0	0	0	0	0
ENSG00000236179	0	0	0	0	0	0
ENSG00000275774	1	0	0	0	0	0
ENSG00000229978	0	0	0	0	0	0
ENSG00000233336	0	0	0	0	0	0
ENSG00000280267	0	0	0	0	0	0
ENSG00000179412	1	0	0	0	0	0
ENSG00000204505	0	0	0	0	0	0
ENSG00000279169	0	0	0	0	0	0
ENSG00000279804	0	0	0	0	0	0
ENSG00000250894	0	0	0	0	0	0
ENSG00000270601	0	0	0	0	0	0
ENSG00000231219	0	0	0	0	0	0
ENSG00000207511	0	0	0	0	0	0
ENSG00000182330	0	0	0	0	0	0
ENSG00000237700	0	0	0	0	0	0
ENSG00000204501	0	0	0	0	0	0
ENSG00000228229	0	0	0	0	0	0
ENSG00000204481	0	0	0	0	0	0
ENSG00000204480	0	0	0	0	0	0
ENSG00000204479	0	0	0	0	0	0
ENSG00000204478	0	0	0	0	0	0
ENSG00000162494	0	0	0	0	0	0
ENSG00000259961	0	0	0	0	0	0
ENSG00000215909	0	0	0	0	0	0
ENSG00000162493	0	0	0	0	0	0
ENSG00000222952	0	0	0	0	0	0
ENSG00000237445	0	0	0	0	0	0
ENSG00000253085	0	0	0	0	0	0
ENSG00000116731	874	943	1064	1148	994	994
ENSG00000189337	425	274	473	287	357	357
ENSG00000252151	0	0	0	0	0	0
ENSG00000231606	0	0	0	0	1	1
ENSG00000234593	0	0	0	0	0	0
ENSG00000235829	0	0	0	0	0	0
ENSG00000287756	0	0	0	0	0	0
ENSG00000175147	62	78	73	50	79	79
ENSG00000171729	380	201	323	287	371	371
ENSG00000204464	0	0	0	0	0	0
ENSG00000215720	0	0	0	0	0	0
ENSG00000278480	2	0	2	3	3	3
ENSG00000142621	11	11	10	13	9	9
ENSG00000233485	0	0	0	0	0	0
ENSG00000236045	0	0	0	0	0	0
ENSG00000228140	4	3	3	3	5	5
ENSG00000142634	1056	516	822	712	1079	1079
ENSG00000162438	1	2	2	0	4	4
ENSG00000142615	0	0	1	0	1	1
ENSG00000215704	0	0	0	0	1	1
ENSG00000132906	91	74	92	132	153	153
ENSG00000116138	415	407	504	573	466	466
ENSG00000251866	0	0	0	0	0	0
ENSG00000272510	1	0	1	1	0	0
ENSG00000116771	160	104	142	104	83	83
ENSG00000237301	10	6	10	14	7	7
ENSG00000235084	5	1	2	2	1	1
ENSG00000252417	0	0	0	0	0	0
ENSG00000236500	0	0	0	0	0	0
ENSG00000197312	1073	1445	1443	1445	1218	1218
ENSG00000215695	0	0	0	0	0	0
ENSG00000271742	0	0	0	0	1	1
ENSG00000116786	1026	546	1076	906	1344	1344
ENSG00000237938	4	6	9	5	9	9
ENSG00000162461	18	16	22	12	24	24
ENSG00000224459	0	0	0	0	0	0
ENSG00000162460	0	0	0	0	0	0
ENSG00000162458	184	110	198	211	295	295
ENSG00000224321	17	8	11	0	0	0
ENSG00000233954	28	17	17	23	17	17
ENSG00000178715	10	8	12	6	4	4
ENSG00000179743	67	33	51	72	98	98
ENSG00000065526	1842	2753	3138	2162	2388	2388
ENSG00000270620	0	0	0	0	0	0
ENSG00000116809	354	144	393	243	481	481
ENSG00000234607	0	0	0	1	0	0
ENSG00000231353	0	0	0	0	0	0
ENSG00000275503	0	0	0	0	0	0
ENSG00000224966	0	0	0	0	0	0
ENSG00000183888	0	0	0	0	0	0
ENSG00000233078	0	0	0	0	0	0
ENSG00000173641	0	0	1	0	0	0
ENSG00000186510	2	0	3	3	2	2
ENSG00000232456	9	0	4	3	4	4
ENSG00000184908	0	0	2	0	0	0
ENSG00000185519	42	16	27	14	28	28
ENSG00000142627	571	330	591	481	784	784
ENSG00000227959	7	9	10	3	13	13
ENSG00000224621	2	0	5	6	3	3
ENSG00000234166	0	0	0	0	0	0
